State/UT,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Daman and Diu,2006,0,0,0,0,0,425.4,1023.7,474,119.35,32.1,0,0,2074.55
Gujarat,2006,0,0,0.828,0,0,116.728,565.208,468.172,119.276,7.236,1.228,0.056,1278.732
Punjab,2006,8.653333333,2.633333333,37.08,1.613333333,25.85333333,58.84615385,167.14,117.66,94.64,11.74285714,7.785714286,7.7,541.3480586
Andaman and Nicobar Islands,2006,28.15,31,91.6,219.55,350.4,359.2,170.95,190.25,489.05,389.6,100.55,84.95,2505.25
Tripura,2006,0,0,1.533333333,176.3333333,512.8333333,500.2,256,270.5,236.0333333,48.63333333,5.833333333,0.233333333,2008.133333
Uttarakhand,2006,13.24285714,1.071428571,64.96,16.38,171.3428571,119.8090909,386.9,332.5583333,108.3166667,9.275,0.9,25.6,1250.356234
Rajasthan,2006,0.184375,0.009375,9.259375,0.34375,12.03125,66.04375,165.371875,273.30625,75.40625,2.621875,0.0875,0.4625,605.128125
Madhya Pradesh,2006,0,0,44.22051282,6.113953488,20.9372093,72.12222222,342.9933333,419.3266667,163.7422222,6.508888889,5.311111111,0.231111111,1081.507231
Maharashtra,2006,0,0,28.07878788,9.333333333,43.51515152,206.2393939,425.5363636,458.5606061,225.7030303,68.61515152,8.166666667,0,1473.748485
Himachal Pradesh,2006,65.81818182,21.10909091,86.58181818,29.55454545,77.14545455,116.1909091,327.5909091,304.2545455,116,20.30909091,11.56363636,29.22727273,1205.345455
Odisha,2006,0.382142857,0,35.68928571,28.59642857,111.1392857,177.225,454.8214286,645.8857143,275.7428571,27.92857143,29.71785714,0,1787.128571
