Annual Total,April,August,December,District,February,January,July,June,March,May,November,October,September,State,Year,_id
1357.6,0.0,503.2,0.0,Ramgarh,0.0,0.3,93.7,427.1,7.5,17.8,0.0,37.2,270.8,Jharkhand,2011,5b0558d45cfe9b8414e39150
1316.7,8.6,419.6,14.2,Ramgarh,6.4,23.6,348.0,70.8,4.4,2.8,104.8,129.7,183.8,Jharkhand,2012,5b0558d45cfe9b8414e39151
1275.0,7.8,282.0,0.0,Ramgarh,1.2,0.0,240.2,157.6,0.0,95.8,0.0,385.4,105.0,Jharkhand,2013,5b0558d45cfe9b8414e39152
1139.6,3.6,270.8,0.0,Ramgarh,52.4,10.8,232.6,155.2,25.6,107.6,0.0,121.2,159.8,Jharkhand,2014,5b0558d45cfe9b8414e39153
1245.4,67.7,385.8,5.4,Ranchi,7.8,13.4,184.5,220.5,0.0,28.3,0.1,101.2,230.7,Jharkhand,2004,5b0558d45cfe9b8414e39154
974.5,2.0,172.0,3.0,Ranchi,64.3,23.0,330.6,174.7,13.8,3.9,6.6,32.1,148.5,Jharkhand,2005,5b0558d45cfe9b8414e39155
1555.9,0.6,340.9,0.0,Ranchi,0.0,0.0,428.1,242.8,44.4,127.3,8.3,24.6,338.9,Jharkhand,2006,5b0558d45cfe9b8414e39156
1470.6,35.2,326.5,0.0,Ranchi,62.8,0.0,480.4,142.2,33.4,49.0,1.4,18.9,320.8,Jharkhand,2007,5b0558d45cfe9b8414e39157
1475.0,14.5,271.6,0.0,Ranchi,12.9,12.3,472.6,407.3,25.0,53.5,1.2,19.8,184.3,Jharkhand,2008,5b0558d45cfe9b8414e39158
1343.3,3.4,324.2,5.0,Ranchi,0.0,10.2,277.2,128.5,35.6,150.3,24.9,63.6,320.4,Jharkhand,2009,5b0558d45cfe9b8414e39159
734.6,8.5,152.0,37.1,Ranchi,0.0,0.0,152.2,55.9,0.0,28.7,8.7,69.8,221.7,Jharkhand,2010,5b0558d45cfe9b8414e3915a
1583.9,7.6,507.8,0.0,Ranchi,0.5,5.6,166.9,485.7,1.8,46.9,0.0,31.5,329.6,Jharkhand,2011,5b0558d45cfe9b8414e3915b
1241.6,15.0,359.9,7.5,Ranchi,25.5,71.3,253.2,91.4,5.3,13.7,71.4,49.5,277.9,Jharkhand,2012,5b0558d45cfe9b8414e3915c
1102.8,19.0,189.2,0.0,Ranchi,27.3,0.1,184.9,229.6,5.7,32.7,0.0,300.1,114.2,Jharkhand,2013,5b0558d45cfe9b8414e3915d
901.0,2.2,192.5,0.0,Ranchi,52.6,7.6,232.6,109.1,36.6,59.7,0.0,40.4,167.7,Jharkhand,2014,5b0558d45cfe9b8414e3915e
"",0.0,152.0,,Sahebganj,,13.0,455.4,342.4,2.7,138.0,,,3.0,Jharkhand,2004,5b0558d45cfe9b8414e3915f
"",,,,Sahebganj,0.0,0.0,,,,,,,,Jharkhand,2005,5b0558d45cfe9b8414e39160
"",,,,Sahebganj,,,,,,,,,783.5,Jharkhand,2006,5b0558d45cfe9b8414e39161
1015.1,67.2,256.2,25.5,Udhampur,131.9,12.6,157.2,59.3,152.8,49.2,1.4,6.6,95.2,Jammu and Kashmir,2011,5b0558d35cfe9b8414e38f0a
1373.7,54.4,549.9,35.4,Udhampur,55.2,81.5,338.2,26.8,40.4,15.7,2.3,2.2,171.7,Jammu and Kashmir,2012,5b0558d35cfe9b8414e38f0b
1195.7,22.7,477.6,8.0,Udhampur,122.3,57.0,182.3,113.8,49.0,47.8,14.8,68.2,32.2,Jammu and Kashmir,2013,5b0558d35cfe9b8414e38f0c
1398.1,67.4,149.2,0.0,Udhampur,85.7,129.8,91.9,22.9,216.5,30.6,4.2,17.8,582.1,Jammu and Kashmir,2014,5b0558d35cfe9b8414e38f0d
"",,,,Bokaro,,,,,,,,,,Jharkhand,2004,5b0558d35cfe9b8414e38f0e
"",,,,Bokaro,,,,,,,,,,Jharkhand,2005,5b0558d35cfe9b8414e38f0f
"",,236.2,,Bokaro,,,308.7,23.5,,,,7.9,370.5,Jharkhand,2006,5b0558d35cfe9b8414e38f10
"",15.3,325.4,,Bokaro,,,420.2,9.3,,48.8,,9.8,272.2,Jharkhand,2007,5b0558d35cfe9b8414e38f11
"",,256.9,,Bokaro,,,433.7,258.6,,,,24.2,235.6,Jharkhand,2008,5b0558d35cfe9b8414e38f12
"",,320.6,0.0,Bokaro,,,210.4,79.9,,,17.7,57.0,335.0,Jharkhand,2009,5b0558d35cfe9b8414e38f13
1096.1,18.2,245.2,27.0,Bokaro,24.8,0.6,304.5,58.2,0.0,73.0,3.4,77.8,263.4,Jharkhand,2010,5b0558d35cfe9b8414e38f14
1450.3,32.4,488.8,0.0,Bokaro,2.4,7.8,185.9,402.2,29.2,26.4,0.0,73.1,202.1,Jharkhand,2011,5b0558d35cfe9b8414e38f15
1096.5,2.4,325.4,12.1,Bokaro,15.5,60.2,299.4,81.9,3.1,4.9,43.1,26.1,222.4,Jharkhand,2012,5b0558d35cfe9b8414e38f16
1411.1,34.7,310.1,0.0,Bokaro,26.7,0.0,223.5,179.0,2.7,139.7,0.0,372.2,122.5,Jharkhand,2013,5b0558d35cfe9b8414e38f17
1224.5,5.2,259.0,0.0,Bokaro,40.0,17.0,394.5,124.4,34.2,135.5,0.0,31.2,183.5,Jharkhand,2014,5b0558d35cfe9b8414e38f18
"",,,,Chatra,,,,,,,,,,Jharkhand,2004,5b0558d35cfe9b8414e38f19
"",,,,Chatra,,,,,,,,,,Jharkhand,2005,5b0558d35cfe9b8414e38f1a
"",,,,Chatra,,,,,,,,,,Jharkhand,2006,5b0558d35cfe9b8414e38f1b
"",,,,Chatra,,,,,,,,,,Jharkhand,2007,5b0558d35cfe9b8414e38f1c
"",,,,Chatra,,,,,,,,,,Jharkhand,2008,5b0558d35cfe9b8414e38f1d
"",,,,Chatra,,,,,,,,,,Jharkhand,2009,5b0558d35cfe9b8414e38f1e
"",,189.2,,Chatra,,,103.7,33.0,,,,60.5,88.3,Jharkhand,2010,5b0558d35cfe9b8414e38f1f
"",,353.7,,Chatra,,,44.6,215.9,,,,3.8,208.7,Jharkhand,2011,5b0558d35cfe9b8414e38f20
"",,249.9,,Chatra,0.0,,348.7,84.2,,,0.0,1.6,98.8,Jharkhand,2012,5b0558d35cfe9b8414e38f21
"",,263.2,0.0,Chatra,,,110.8,60.4,,,0.0,200.1,74.9,Jharkhand,2013,5b0558d35cfe9b8414e38f22
957.2,0.0,232.7,0.0,Chatra,28.2,17.4,222.9,115.2,27.5,96.3,0.0,31.1,185.9,Jharkhand,2014,5b0558d35cfe9b8414e38f23
"",,,,Devgarh,,,,,,,,,,Jharkhand,2004,5b0558d35cfe9b8414e38f24
"",,,,Deoghar,,,,,,,,,,Jharkhand,2005,5b0558d35cfe9b8414e38f25
"",,,,Deoghar,,,,,,,,,,Jharkhand,2006,5b0558d35cfe9b8414e38f26
"",,,,Deoghar,,,,,,,,,,Jharkhand,2007,5b0558d35cfe9b8414e38f27
"",,,,Deoghar,,,,,,,,,,Jharkhand,2008,5b0558d35cfe9b8414e38f28
"",,,,Deoghar,,,,,,,,,,Jharkhand,2009,5b0558d35cfe9b8414e38f29
"",,177.5,,Deoghar,,,,,,,48.0,145.3,270.4,Jharkhand,2010,5b0558d35cfe9b8414e38f2a
"",,419.5,,Deoghar,,,138.4,273.1,,,,4.5,149.4,Jharkhand,2011,5b0558d35cfe9b8414e38f2b
"",,219.0,,Deoghar,,,258.1,58.7,,,,0.0,184.1,Jharkhand,2012,5b0558d35cfe9b8414e38f2c
1141.1,6.0,300.4,0.0,Deoghar,17.5,0.0,156.5,149.0,0.2,125.8,0.0,261.0,124.7,Jharkhand,2013,5b0558d35cfe9b8414e38f2d
1150.7,0.0,182.9,0.0,Deoghar,38.5,2.1,539.8,78.5,6.3,119.3,0.0,31.0,152.3,Jharkhand,2014,5b0558d35cfe9b8414e38f2e
"",78.3,272.8,,Dhanbad,0.0,9.0,193.3,212.2,4.1,71.3,,38.9,193.6,Jharkhand,2004,5b0558d35cfe9b8414e38f2f
"",,86.8,,Dhanbad,,,392.7,3.5,,,0.0,11.9,111.1,Jharkhand,2005,5b0558d35cfe9b8414e38f30
"",,233.3,0.0,Dhanbad,,,283.5,35.8,,,,10.0,263.8,Jharkhand,2006,5b0558d35cfe9b8414e38f31
"",9.9,474.4,,Dhanbad,,,621.0,63.7,,52.3,,26.0,329.3,Jharkhand,2007,5b0558d35cfe9b8414e38f32
"",,195.3,,Dhanbad,,,442.1,165.9,0.0,,,39.7,174.5,Jharkhand,2008,5b0558d35cfe9b8414e38f33
"",,284.1,0.0,Dhanbad,,,257.2,81.8,,,1.5,102.1,272.9,Jharkhand,2009,5b0558d35cfe9b8414e38f34
879.9,4.6,171.5,38.5,Dhanbad,0.0,7.0,171.2,152.8,0.0,28.1,3.7,49.1,253.4,Jharkhand,2010,5b0558d35cfe9b8414e38f35
